timestamp,date,latitude,longitude
1642608057,"2022-01-19 16:00:57",45.070953,7.692264
1642608064,"2022-01-19 16:01:04",45.070887,7.692176
1642608073,"2022-01-19 16:01:13",45.07081,7.692107
1642608083,"2022-01-19 16:01:23",45.070727,7.692025
1642608095,"2022-01-19 16:01:35",45.07064,7.691976
1642608103,"2022-01-19 16:01:43",45.070548,7.691917
1642608109,"2022-01-19 16:01:49",45.070465,7.691867
1642608116,"2022-01-19 16:01:56",45.070388,7.691772
1642608122,"2022-01-19 16:02:02",45.070309,7.691672
1642608130,"2022-01-19 16:02:10",45.07023,7.691609
1642608139,"2022-01-19 16:02:19",45.070147,7.691536
1642608146,"2022-01-19 16:02:26",45.070042,7.691541
1642608154,"2022-01-19 16:02:34",45.069945,7.691493
1642608160,"2022-01-19 16:02:40",45.069863,7.691429
1642608166,"2022-01-19 16:02:46",45.069775,7.691368
1642608173,"2022-01-19 16:02:53",45.069685,7.691317
1642608181,"2022-01-19 16:03:01",45.0696,7.691273
1642608189,"2022-01-19 16:03:09",45.069521,7.691178
1642608195,"2022-01-19 16:03:15",45.069426,7.69113
1642608201,"2022-01-19 16:03:21",45.069336,7.691074
1642608211,"2022-01-19 16:03:31",45.069273,7.690983
1642608217,"2022-01-19 16:03:37",45.069205,7.690887
1642608228,"2022-01-19 16:03:48",45.069107,7.690842
1642608232,"2022-01-19 16:03:52",45.069016,7.690898
1642608243,"2022-01-19 16:04:03",45.068919,7.690915
1642608248,"2022-01-19 16:04:08",45.068838,7.690841
1642608253,"2022-01-19 16:04:13",45.068774,7.690751
1642608259,"2022-01-19 16:04:19",45.068686,7.690686
1642608273,"2022-01-19 16:04:33",45.068728,7.690569
1642608321,"2022-01-19 16:05:21",45.068817,7.690551
1642608333,"2022-01-19 16:05:33",45.068914,7.690541
1642608338,"2022-01-19 16:05:38",45.068963,7.690663
1642608340,"2022-01-19 16:05:40",45.069021,7.690774
1642608343,"2022-01-19 16:05:43",45.069152,7.690801
1642608345,"2022-01-19 16:05:45",45.069298,7.690851
1642608347,"2022-01-19 16:05:47",45.069432,7.690924
1642608349,"2022-01-19 16:05:49",45.069544,7.691076
1642608351,"2022-01-19 16:05:51",45.069646,7.691193
